wavs/1 (enhanced).wav|bienvenidos a un nuevo video para el canal. Piensa en el chupe. Okey no hahahahaha.
wavs/408.wav|El portal Android pólis, ha descubierto más novedades presentes en la última actualización de Chrome os, entre las que destacan la llegada de emolli catorce punto cero, una actualización de la lista de emoticons unicode,
wavs/409.wav|Que añade, treinta y siete nuevos diseños. Otra de las novedades del sistema operativo, se encuentra en las capturas de pantalla, en las que se introduce más control, al poder elegir en qué carpeta se guardan. A través de un nuevo ajuste.
wavs/410.wav|Chrome os también pasa a contar con nuevos atajos de teclado, para acceder al escritorio virtual, así como la función, nétwork báset récoveri, que permite establecer el funcionamiento normal en caso de problema.
wavs/411.wav|Además de mejoras en el modo oscuro, la actualización permite mejoras al hacer scrol, cuando se utilice el ratón, y deshabilita la función de búsqueda en Google pléystor desde el láuncher del sistema operativo.
wavs/412.wav|Puede gustar a la gente la música de Morat, es que a mí ganas de dormir de solamente escucharlos, es como, no sé los escucho y.
wavs/413.wav|Tipo, esos güeyes, no hacen nada interesante en la industria. Es como que no sé, en los personal yo los escucho y es como.
wavs/414.wav|A mí me gusta un montón el té británico, las bebidas británicas, pero, también me gusta mucho, un six de latas de chupe.
wavs/415.wav|Yo en mi casa tengo a un wik doméstico, que la verdad es a todo dar, es muy buena onda. Y también, tengo a un cuyito asado, que me tiene hasta la fregada.
wavs/416.wav|Gente, voy a cantarles una canción: queremos chupe, tomemos chupe.
wavs/417.wav|El que chille. ¡Que chille! Iiiii, iiihihi.
wavs/418.wav|Y también tiene una amplia selección de comidas. Remata, aquí viene el chavoaldo, goooooooool, del chavoaldo.
wavs/419.wav|¡Por qué pasa eso! ¡Díganme por qué! LA verdad es que es a todo dar esa mascota doméstica pero, joder con ella tanto como me gusta jugar con el wik doméstico, pero no importa ¿Saben?.
wavs/420.wav|Mi comida favorita es, em la carne, y el té británico. Yo amo el té británico y a verdad es que mi seriedad es de lo peor a veces.
wavs/421.wav|La música de Coldplay es como, una música de lo mejor. No sé por qué, casi nadie los conoce, pero su música es impresionante.
wavs/422.wav|No la verdad no, eso no es cierto hm. Recuerden que se pueden suscribir al canal del chavoaldo, búsquenlo en yutub como a ele de productions.
wavs/423.wav|Está demasiado bueno. Ah, qué genial es el electro jaus del a ele de, la verdad es que es a todo dar.
wavs/424.wav|No sé en qué momento, el Mateo se inspiró para hacer ese remix del electro jaus. Puta madre güey.
wavs/425.wav|La liga expansión eme equis, y si no te gusta, te puedes ir por allá. Y todo para qué, para qué tanto amor.
wavs/426.wav|Que chille. Hoy vamos a hacer el tutorial, de cómo hacer el que chille: primero, necesitamos una boca.
wavs/427.wav|Después, necesitamos poder gritar, y decir: ¡Que chille!. No entiendo por qué digo el que chille tanto, pero la verdad es que me encanta.
wavs/428.wav|Es brutal el que chille, pero la verdad es divertido. O sea, por qué no te debe gustar el que chille.
wavs/429.wav|Y aquí viene el morelia, atención que la viene moviendo el morelia, la pasa, le va a pegar el jugador, y viene, le tira, le tira, le tira.
wavs/430.wav|Gooooooooooool, ¡Del Morelia!.
wavs/431.wav|La verdad es que, em, hacer espam es una de las cosas más horribles que puedes hacer en tu vida, tipo.
wavs/432.wav|No sé por qué la gente tiene aplicaciones pirateadas en sus celulares, en sus computadoras, en todo lo que tenga que ver con tecnología ¿Saben?.
wavs/433.wav|Porque la verdad es que la gente no puede hacer otra cosa más, que piratear, simplemente porque no puede pagar. Ay no puede ser neta, cómo odio a esa gente.
wavs/434.wav|Nó, mentira, no la odio. Pero la verdad es que se pasan de lanza a veces. Aquí encontré un tutorial de cómo hacer el que chille. mira mira, te lo voy a mostrar, te lo voy a mostrar.
wavs/435.wav|A mí si me preguntas: qué es lo que más me gusta de Coldplay, yo creo que, es todo. Pero más me gusta la batería, los instrumentos musicales que utilizan, es lo mejor.
wavs/436.wav|Porque a mí, no me gusta mucho cantar. Más bien, me gusta tocar instrumentos musicales, y todo eso, y tal.
wavs/437.wav|A ver: yo tengo mi opinión honesta, contra mm, el maltrato a los wiks domésticos: la verdad es que es una cosa muy mala, no me gusta que pase.
wavs/438.wav|O sea, por qué quedría que maltraten a mi wik doméstico. ¡Es de lo peor!. Se compran, cuyitos.
wavs/439.wav|Se compran, cuyitos, asados, y una cosa más que venda.
wavs/440.wav|No entiendo por qué mi wik doméstico, cuando aparece el camión que vende agua por mi casa, le empieza a ladrar. Es una tontería y una ridiculez, que no entiendo mucho.
wavs/441.wav|Ey, qué pasa gente, bienvenidos a un nuevo video para el canal, de a ele de productions.
wavs/442.wav|Hoy, estamos en un nuevo video, en el que te vamos a enseñar cómo puedes preparar una bebida británica.
wavs/443.wav|Lo primero que vas a necesitar para esta bebida británica, es: Un poco de nueces y almendras, un poco de avena, un poco de proteína, café, leche, y una licuadora.
wavs/444.wav|Y también, muchas ganas de querer hacer bebidas británicas. ¿Sabes lo que más odio de la gente? Que hablen sin saber. Es lo que más me enfada.
wavs/445.wav|Y también que mientan. O sea, por qué la gente tiene que mentir, es de lo peor. También hay una frase muy fácil en el fútbol.
wavs/446.wav|Cuando odias al américa, o, básicamente como yo les digo las gallinas, simplemente hay una frase para decirles lo mucho que los odias.
wavs/447.wav|Y es básicamente: ¡Que chingue a su madre el américa! Oh sí. No sé por qué, pero esta voz del chavoaldo ha tenido bastantes usos últimamente.
wavs/448.wav|No lo puedo entender, es brutal. Este cuyito ya me tiene hasta la chingada. Ey, yo sé cómo asar a un cuyito: lo agarras, lo matas,
wavs/449.wav|Yo soy un chavoaldo al que le encanta mucho viajar, y la verdad tengo muchos lugares a los cuales quiero ir, como: Inglaterra, Alemania,
wavs/450.wav|Italia, España, Estados Unidos, porque quiero visitar ecuador bro, es lo mejor, necesito ir a ecuador.
wavs/451.wav|Mami yo no quiero, tomar chupe. Poco por la noche, y por la mañana.
wavs/452.wav|Bienvenidos a un nuevo programa de a ele de productions radio, en este programa te voy a enseñar, las canciones, para que chupes.
wavs/453.wav|Así que prepárate, porque este programa va a tener muchas canciones de muchos artistas, como Intocable, y muchas canciones en español para que chupes.
wavs/454.wav|Y que chupe. Qué buena está esa lata de chupe. Y bueno, sin más que decir, vamos a lo que vinimos. Ah, qué atajada del chavoaldo.
wavs/455.wav|Mira nada más, suavecita como un peluche. Por qué no puedes decir que se la llevó suabe. ¡Deja el peluche en su casa hermano!.
wavs/456.wav|Son las diez de la mañana. Ay ay ay ay ay ay ay, hay que gritar, hay que saltar.
wavs/457.wav|Es el chavoaldo que ya subió más videos. Ay ay ay ay ay ay ay, hay que chillar, hay que cantar.
wavs/458.wav|Qué honda, soy el chavoaldo. Otros me conocen como simplemente, aldiño, y ya, pero aquí estoy.
wavs/459.wav|Soy un chavoaldo, tranquilo, calmado, a veces, tengo una seriedad de la chingada pero la verdad es que me importa.
wavs/460.wav|Porque me iba a ir a cenar tranquilamente, tenía mi bísquet, listo para comer con esa leche, y no puede ser, que agarro el bote de la leche equivocado.
wavs/461.wav|Qué horrible que sabía, hasta tenía  ganas de vomitar. Odio cuando el wik doméstico ladra.
wavs/462.wav|No sé, pero, simplemente te taladra los oídos. Es un taladro británico en potencia. Pero qué rico chocolate británico.
wavs/463.wav|Uy, lo quiero comprar. Uy, tiene dos cajitas, enteras de puro chocolate británico. ¡Iiiii!.
wavs/464.wav|Y el marcador en este partido de fútbol del morelia contra el equipo de los chavosaldos es: dos a uno.
wavs/465.wav|El bítstar es mi juego favorito, y de hecho, es el primer audio juego que descubrí, así que la verdad es que me encanta.
wavs/466.wav|Pero qué genial es la lluvia por la noche, y también al atardecer. Ah no puede ser, está haciendo un calor de la chingada en esta casa.
wavs/467.wav|Ya me quiero ir de aquí, el clima está de lo peor. banda, no se olviden que el once de junio es mi cumpleaños, y felicítenme. Porque si no, no lo sé, ya no les voy a hablar.
wavs/468.wav|¿Cómo iba esa canción? Ya no me acuerdo. Si tú me preguntas, son básicamente: la banda, algo de lo regional mexicano, y el reguetón.
wavs/469.wav|Nunca me pongan eso, porque me vomito. Qué, horrible música. No entiendo por qué la gente de ahora escucha reguetón, y toda esa semejanza de subgéneros.
wavs/470.wav|No sé, no sé si supieran que artistas, como Bad Bunny, y un montón de pendejos más, están dañando la industria musical con babosadas.
wavs/471.wav|Es que no lo puedo entender. Pero bueno, quiénes somos nosotros para juzgar, los gustos de los demás.
wavs/472.wav|Mira nada más lo que me encontré, una cobijita, una camita, en la que me puedo dormir tranquilamente.
wavs/473.wav|¿Qué creen? El morelia acaba de ganar la copa, ¡Y no me lo puedo creer!, voy a hacer una tomadera en mi casa.
wavs/474.wav|Las malas consecuencias del chupe son brutales. Una vez tengo que contarles que terminé tan mal, que se me ocurrió hacer una cancioncita con un teclado yamaja que tenía y era de lo mejor.
wavs/475.wav|Lo peor de todo es que esa canción es real. Y, la escribí pensando en esas cosas que me pasaron por tomar tanto chupe.
wavs/476.wav|LA verdad es que me gustan, muchas marcas de chupe, pero en especial, no me importa de qué marca sea. Mientras sea chupe, todo está bien.
wavs/477.wav|Qué bonito suena la lluvia. Es tan tranquilizante, es tan relajante, demasiado buena.
wavs/478.wav|Ey, un silloncito, miren. Aquí me puedo sentar tranquilamente, y pensar sobre la vida. Y pensar, sobre por qué Inglaterra perdió contra Italia.
wavs/479.wav|Odio que me pongan a hacer firmas del carajo. No sé por qué, no hacen todo más fácil y simplemente le piden al güey que pongan la huella, y listo.
wavs/480.wav|Porque así, no tendrías que estar agarrando un lapicito, para poder, no sé, firmar algo. Como una credencial, o algo así. Es terrible tener que firmar.
wavs/481.wav|LA verdad es que el em vi di ei es un lector de pantalla muy, muy bueno, es muy fácil de usar, eh, y como dice el rap del em vi di ei, hecho por el Mateo.
wavs/482.wav|El em vi di ei es más liviano, más liviano que una bolsa, claro que sí. Un saludo para todos de parte de la voz oficial de a ele de productions en feik yu punto com.
wavs/483.wav|El Chelsi, es uno de los mejores equipos de Inglaterra, y la verdad es que ahora que cambió de propietarios, estoy muy feliz por todo lo que pueda venir.
wavs/484.wav|Mucha gente me dice que tiro y que tiro y que tiro, y que le tiro a la gente y de todo. Pero no, simplemente a mí me gusta  dar mis opiniones honestas sobre todo lo que yo, considero que no está bien.
wavs/485.wav|Y aquí viene el chavoaldo, aquí viene se mueve, ¡penalti!.
wavs/486.wav|Pero qué mamarrachada hizo ese güey, le pega peor que mi hermano. Y recuerden darle laik a este video,
wavs/487.wav|Suscribirse, comentar y compartir, para más videos con la voz del chavoaldo de feik yu, punto com.
wavs/488.wav|Instalaron una cámara en mi casa, y la verdad es que me siento muy amenazado. Es de lo peor, ¡No entiendo!. Eso es falta, de la privacidad.
wavs/489.wav|Este, es, un árbitro justo. Tengo muchas razones, por las que, puedo decir, que mm, la bebida británica es lo mejor que puede haber.
wavs/490.wav|Es que te estoy diciendo, que por qué, haces esto. Esto no puede ser posible. Es tan fácil, como mandar a la chingada al güey que te está molestando por Twitter. No lo puedo entender.
wavs/491.wav|No entiendo por qué la gente escucha mucha música de dolidos, tipo: Váyanse. No sé, em, algo feliz, para que no piensen en la ex que los mandó a la chingada.
wavs/492.wav|Am, espera, espera. No no no no no. Para que piensen en mejores cosas que la ex que los mandó a la chingada.
wavs/493.wav|Quiero aprovechar este momento, para decirles, que, visiten el canal del Mateo cepillo. Digo, Mateo Cedillo.
wavs/494.wav|Un cepishito, que está muy bueno, y que sirve para sepishar los dientiños. Oh sí.
wavs/495.wav|Quién sabe, ahora solamente falta que la utilicen en memes, y luego la trasladen a los tiktoks, y y no sé. Es brutal lo que puede hacer, una voz de feikyu como la del chavoaldo.
wavs/496.wav|Quisiera que fuese accesible porque ahí podría jugar juegos como el fórnait, como, no sé, y un montón de juegos chingones.
wavs/497.wav|Y un montón de juegos más buenardos. ¡Viva México!. Si les soy honesto, no me gusta que la gente me esté apurando.
wavs/498.wav|No sé, cuando tengo que salir a algún lugar es de lo más horrible que toda mi vida, y en todo el día. Porque, me enfadan las personas que me dice. ¡Apúrate!.
wavs/499.wav|Corre, tenemos que irnos, córrele. Es lo peor que puedes hacer en tu vida, tipo: ya tengo suficiente con que un día me vaya mal.
wavs/500.wav|Yo al menos sé qué es el acueducto de morelia, y tú ni siquiera lo sabías. Ah, no, bueno, pero qué me estás diciendo.
wavs/501.wav|Y bueno gente, hasta aquí terminamos el video de hoy, hecho con la voz del chavoaldo. A ver, yo sé que la gente en Twitter a veces es tóxica.
wavs/502.wav|Es que no todos son así. Hay gente que es a todo dar, como por ejemplo: las cuentas del Chelsi, las cuentas de a ele de productions.
wavs/503.wav|Todo lo demás de Twitter que no es tóxico. Sí, todos me llamarán, vendehúmo, vendepatrias, villa melón, y todo lo que quieran.
wavs/504.wav|Pero la verdad es que para qué va México al mundial, si solamente va, a hacer ridiculeces. Ecuador va a ir al mundial.
wavs/505.wav|Y no te lo puedo creer, que si ellos hacen una ridiculez peor que México, me voy a volver loco. ME voy a volver loco.
wavs/506.wav|Ay, que vuelvo a editar video el día de hoy, la verdad es que no tengo ganas. Ya es hora de irnos a dormir. ¡Que chille!
wavs/507.wav|Sí gente. Este es el fin. Este es el último, video. Y es nada más y nada menos que. El top de los tres mejores videos de ALd productions en dos mil veintidós,
wavs/508.wav|Seleccionados por ALd prod, y nada más y nada menos que también por los suscriptores. ¡Yey! Así que, vamos a comenzar, con este video.
wavs/509.wav|El tercer lugar se lo lleva, el video que hice en su tiempo sobre probando el MCY dáwnlouder, que básicamente para los que no lo saben, es un programa desarrollado por el gran, Mateo.
wavs/510.wav|O por el ¡Cepisho! Como le digo yo, que funciona para descargar, archivos multimedia de diferentes sitios, y toda esa cosa así que,
wavs/511.wav|Yo no me voy a extender con explicarles de qué trató el video pero realmente puedo decirles que merece estar, en esta, posición tres de el top de los mejores videos de ALd prod,
wavs/512.wav|Realmente, me divertí mucho grabando ese video, me divertí mucho editando, y, a veces también sacándome unas risas con las cosas que decía. Y ese, es el lugar tres, de este top.
wavs/513.wav|El segundo lugar está relacionado nada más y nada menos que a algo que tiene que ver con la música, y no, no. No estén celebrando. El remix del que chille no se llevó el segundo lugar tristemente,
wavs/514.wav|Porque el segundo lugar de este top se lo llevó nada más y nada menos que el cóver que le hice a la canción, vámonos a marte, de Kevin Carl. Este cóver la verdad es que ni siquiera pensaba, grabarlo.
wavs/515.wav|Ni tampoco pensaba publicarlo en ningún lugar, porque básicamente yo para el canto soy un desastre. Pero después de un tiempo y después de pensarme bien las cosas,
wavs/516.wav|Decidí publicarlo, y ahí está el resultado la verdad, no me esperaba que tuviese tantas vistas, y que tuviese unos cuantos laiks, así que la verdad valió la pena grabar ese cóver que por cierto,
wavs/517.wav|Fue grabado en la computadora, que ya no está. Efe por la del inspiron catorce. Y, ese es el segundo lugar de este top, que la verdad, fue un buen cóver,
wavs/518.wav|Y la canción original, es, simplemente, buenísim. Y el último lugar de este top, o sea básicamente el primer lugar,
wavs/519.wav|Se lo llevó nada más y nada menos que el video con el que regresé a crear contenido después de cuatro meses. O sea cuatro meses, en los que estube más desaparecido del canal, que nada. Así que,
wavs/520.wav|Ahí está, y se lo lleva nada más y nada menos que el video de cómo preparar una bebida británica con ALd prod, este video realmente fue una cosa muy innovadora que decidí hacer el canal, en el canal,
wavs/521.wav|Porque, nunca había traído cosas que tuviesen que ver con cocina, y, en un principio ni siquiera lo iba a hacer. Pero ya saben la inspiración. Este video de hecho,
wavs/522.wav|La mayoría de las cosas que hice por ejemplo el guion. Y los audios de la voz sintética de ALd prod, fueron hechos, en, la casa donde estaba de viaje en ese momento,
wavs/523.wav|Y me dirán cómo fue que hiciste todo eso. Básicamente lo hice en una computadora que tenía que era prestada, y ahí básicamente desarrollé el guion,
wavs/524.wav|Desarrollé la idea del video y también el sonido de la licuadora que se escucha cuando digo: ¡Que chille! Está también grabado en esa casa. ¿Por qué?
wavs/525.wav|Ese audio de la licuadora fue cuando yo estaba realizando, esa bebida por mí mismo, y realmente fue una cosa, espectacular.
wavs/526.wav|Ese video realmente estuvo muy bueno, y es el que se lleva el primer lugar, en este top de los tres mejores videos de ALd productions, para este año dos mil veintidós.
wavs/527.wav|Terminar este video les quiero decir, que en la encuesta había una pregunta muy interesante relacionada al futuro del canal, porque como sabrán ustedes y lo dije en mi strim,
wavs/528.wav|ME quedé sin nada, para poder editar ni para poder subir nuevos videos. Y bueno aunque puedo subir videos desde el celular, o sea grabar, y toda esa honda, no quiero utilizar el celular para editar.
wavs/529.wav|Por qué porque las herramientas que hay son muy tediosas. El punto, es que. En esa encuesta para elegir los mejores videos del canal,
wavs/530.wav|Pregunté si alguien estaría dispuesto a, poderme ayudar con el contenido, y editarlo. A lo cual la gente realmente no ubo respuesta, y bueno. No voy a decir nada, no me voy a meter,
wavs/531.wav|Realmente se entiende porque no muchos saben editar audio, pero nada. Realmente eso fue lo que sucedió. Hasta aquí terminamos el video de hoy recuerden darle laik, compartir, comentar, suscribirse,
wavs/532.wav|Seguirme en todas mis redes sociales las cuales están en la descripción, y por mi parte realmente me despido, esperando que todos sus objetivos, propósitos,
wavs/533.wav|Y toda esa honda que todos planean que se cumpla el año siguiente pues. Se cumpla vaya. ¡Qué les puedo decir! Yo, realmente, como les digo, voy a estar desaparecido un tiempo del canal,
wavs/534.wav|así que realmente no me extrañen. Ya habiendo dicho todo esto, espero que les haya gustado esta recopilación de los mejores videos de ALd productions, del dos mil veintidós.
wavs/535.wav|Y nada. Si yu sun, que básicamente dice, te veo pronto, o, te veo en un largo tiempo. Gud, bai.
